OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,Age,ProportionPrincipalUseType,ProportionSecondaryUseType,ProportionThirdUseType,RiseType,AgeType,energies_sum,energy_ratio,SteamUseProportion,ElectricityProportion,NaturalGasProportion
28081,NonResidential,Small- and Mid-Sized Office,Brown Bear Car Wash,3977 Leary Way NW,Seattle,WA,98107.0,7442000545,6,Ballard,47.65564,-122.36191,1988,1,2,20535,0,20535,"Distribution Center, Office",Office,13600.0,Distribution Center,8200.0,,,,7.0,84.19999695,90.09999847,210.6000061,218.1999969,1835804.0,1964622.625,0.0,1274260.0,561544.0,Compliant,,38.71,1.89,35,0.6622839055271488,0.399318237156075,,Low,Modern,1835804.0,1.0,0.0,0.69,0.31
28086,NonResidential,Laboratory,Environmental Laboratory,322 W Ewing Street,Seattle,WA,98119.0,7442001430,7,MAGNOLIA / QUEEN ANNE,47.65223,-122.36147,1985,1,2,43025,0,43025,"Laboratory, Other",Laboratory,29527.0,Other,13498.0,,,,,218.3000031,235.8999939,485.0,503.3999939,9393108.0,10148279.0,0.0,5264469.0,4128638.0,Compliant,,255.97,5.95,38,0.6862754212667054,0.3137245787332946,,Low,Modern,9393107.0,0.9999998935389649,0.0,0.56,0.44
28476,NonResidential,Warehouse,NWCP-SEA Mayn Bldg,6100 6th Ave S,Seattle,WA,98108.0,5367201155,2,GREATER DUWAMISH,47.54769,-122.3251,1965,1,1,30800,0,30800,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,30800.0,,,,,,65.0,15.80000019,15.80000019,49.5,49.5,485971.0,485971.0,0.0,485971.0,0.0,Compliant,,3.39,0.11,58,1.0,,,Low,Old,485971.0,1.0,0.0,1.0,0.0
29214,NonResidential,Warehouse,1001-1005 6th Ave. S,1005 6th Avenue S,Seattle,WA,98134.0,7666204800,2,GREATER DUWAMISH,47.59416,-122.3267,1922,1,1,37400,0,37400,"Distribution Center, Non-Refrigerated Warehouse, Supermarket/Grocery Store",Non-Refrigerated Warehouse,27271.0,Supermarket/Grocery Store,5706.0,Distribution Center,4473.0,,73.0,24.70000076,24.29999924,75.80000305,74.40000153,924192.6875,909543.1875,0.0,894740.0,29453.0,Compliant,,7.8,0.21,101,0.7291711229946524,0.1525668449197861,0.11959893048128342,Low,Very_old,924193.0,1.0000003381329503,0.0,0.97,0.03
29550,NonResidential,Large Office,605 Union Station,605 5th Ave S,Seattle,WA,98104.0,8809700040,2,DOWNTOWN,47.59666,-122.32768,2000,1,11,268130,0,268130,Office,Office,268130.0,,,,,20162015201420132012201020092008,88.0,56.0,56.09999847,175.6000061,175.6000061,15026352.0,15033874.0,0.0,14980783.0,45567.0,Compliant,,106.86,0.4,23,1.0,,,Medium,Modern,15026350.0,0.9999998669004959,0.0,1.0,0.0
29551,NonResidential,Small- and Mid-Sized Office,625 Union Station,625 5th Ave. S,Seattle,WA,98104.0,8809700040,2,DOWNTOWN,47.59706,-122.32813,2000,1,11,68452,0,68452,"Bank Branch, Office",Office,61665.0,Bank Branch,6787.0,,,201720162015,79.0,55.29999924,58.09999847,173.5,182.6000061,3782378.25,3979629.5,0.0,3782378.0,0.0,Compliant,,26.37,0.39,23,0.9008502308186759,0.09914976918132413,,Medium,Modern,3782378.0,0.9999999339040192,0.0,1.0,0.0
29552,NonResidential,Large Office,705 5th Avenue,705 5th Ave S,Seattle,WA,98104.0,8809700040,2,DOWNTOWN,47.59634,-122.32807,2000,1,11,273185,0,273185,Office,Office,281566.0,,,,,20162015201020092008,88.0,52.20000076,52.20000076,164.0,164.0,14709151.0,14709151.0,0.0,14709149.0,0.0,Compliant,,102.54,0.38,23,1.0306788440068086,,,Medium,Modern,14709149.0,0.9999998640302218,0.0,1.0,0.0
29612,NonResidential,K-12 School,Villa Academy - Main bldg.,5001 NE 50TH ST,Seattle,WA,98105.0,1025049038,4,NORTHEAST,47.66368,-122.27324,1924,1,3,97500,0,97500,K-12 School,K-12 School,97500.0,,,,,,97.0,38.29999924,44.29999924,59.79999924,66.80000305,3736960.0,4314753.5,0.0,910698.0,2826262.0,Compliant,,156.45,1.6,99,1.0,,,Low,Very_old,3736960.0,1.0,0.0,0.24,0.76
29788,NonResidential,Small- and Mid-Sized Office,Queen Anne Square West (220),220 West Mercer Street,Seattle,WA,98119.0,7015350000,7,MAGNOLIA / QUEEN ANNE,47.62495,-122.36036,1982,1,5,54015,0,54015,Office,Office,54015.0,,,,,,75.0,55.90000153,55.90000153,175.6000061,175.6000061,3020001.5,3020001.5,0.0,3020001.0,0.0,Compliant,,21.05,0.39,41,1.0,,,,Modern,3020001.0,0.9999998344371683,0.0,1.0,0.0
32429,NonResidential,Restaurant,First & Union,1411 1st Avenue,Seattle,WA,98101.0,6094500000,7,DOWNTOWN,47.60805,-122.33978,1985,1,13,42000,0,42000,"Office, Other, Other - Restaurant/Bar, Strip Mall",Other - Restaurant/Bar,26554.0,Other,15310.0,Strip Mall,7673.0,,,148.0,147.3000031,335.2999878,333.1000061,7798464.0,7762660.5,2513519.25,4351882.0,933062.0,Compliant,,273.91,6.52,38,0.6322380952380953,0.3645238095238095,0.18269047619047618,Medium,Modern,7798463.25,0.9999999038272152,0.32,0.56,0.12
